id;dni;nombre;apellido;cargo;telefono
1;red;withdrawal knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;User-centric;7697
2;neutral Salad;Auto Loan Account modular Refined;digital maroon;EXE projection Fresh;35629
3;Direct;Profit-focused;Jewelery cutting-edge;Games;51074
4;supply-chains magenta;encompassing;Directives;sky blue;55810
5;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;23956
6;Granite Berkshire Designer;Credit Card Account;navigate;Re-contextualized;80313
7;Point Orchestrator;Solomon Islands Licensed;Gloves Bedfordshire Argentine Peso;Kentucky Algerian Dinar Clothing;51209
8;Future-proofed deposit Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;98216
9;Borders content-based;Tasty Customer Human;pink even-keeled;bus Internal AI;77987
10;invoice Unbranded Cheese;New Zealand Dollar Alabama transform;invoice Home Gloves;Buckinghamshire Ports;99445
